,text,0,1,2
506,президент украины петр порошенко заявил  что за      год в стране было предотвращено более     террористических атак   большинство из которых готовились на территории россии  об этом он рассказал  выступая на собрании по случаю дня создания службы безопасности украины  сбу   сообщает в пятницу     марта           порошенко отметил  что теракты с целью дестабилизации внутриполитической ситуации планировались в киеве  одессе  николаеве  херсоне  запорожье  харькове и львове   они  теракты    прим   ленты ру    являются ключевым элементом той гибридной войны  которая сегодня ведется против нашей страны     подчеркнул президент  по словам главы государства  спецслужба в рамках противодействия таким атакам  проводит довольно эффективную информационную кампанию  представляя обществу достаточно убедительные доказательства эффективности своей работы    украинскому народу есть за что сегодня благодарить сбу     резюмировал порошенко     марта глава сбу василий грицак                                                                  заявил      что во взрывах в международном аэропорту и ряде станций городского метро брюсселя может обнаружиться российский след  в москве ответили резкой критикой на слова грицака  официальный представитель российского мид мария захарова назвала его нелюдем  премьер министр дмитрий медведев   придурком  а руководитель администрации главы государства сергей иванов   дегенератом  в свою очередь секретарь совета национальной безопасности и обороны украины  снбо  александр турчинов                                                                       высказал     мнение  что у вооруженного конфликта в донбассе  а также терактов в турции  париже и брюсселе  одни и те же режиссеры      марта в брюссельском аэропорту завентем и на станции метро  маальбек   расположенной неподалеку от европейского квартала  прогремели взрывы  по уточненным данным  погиб    человек  еще     пострадали  власти страны квалифицировали произошедшее как теракт  в ночь на    ноября      года в париже была совершена серия атак  жертвами терактов стали     человек  более     пострадали  ответственность за нападение  как и в брюсселе  взяла на себя запрещенная в россии экстремистская организация  исламское государство   турция также в последнее время становится объектом террористических атак  так     марта в центре стамбула себя подорвал террорист смертник  погибли пять человек     получили ранения  еще один мощный взрыв произошел в столице страны анкаре    марта  тогда жертвами атаки стали    человек  более    пострадали  ,criminal,ucraine,
507,суд рассмотрит жалобу облысевшего из за плохих новостей пользователя  яндекса  хамовнический районный суд москвы принял к рассмотрению жалобу пользователя  яндекса  романа масленникова с требованием взыскать с поисковика миллион рублей за публикацию плохих новостей  об этом свидетельствует                                                                                                                                                  запись     в картотеке суда  предварительные слушания по делу назначены на   апреля      года  масленников                                                                     подал     иск к  яндексу     марта  по словам мужчины  пользуясь почтой и поиском  он был вынужден читать тревожные заголовки новостных материалов на главной странице сайта  из за постоянного стресса у него начали выпадать волосы  заявитель отметил  что    марта      года обратился в клинику  где ему поставили диагноз                                                                                                           андрогенетическая алопеция      из за нервного напряжения  миллион рублей масленников требует в качестве компенсации за затраты на лечение  потерю трудоспособности и моральный вред  пользователь  яндекса  также просит обязать компанию проверять заголовки на предмет их соответствия новости и оценивать их воздействие на психику людей  ,criminal,economics,
508,в мид заявили о временном характере конфликта россии и турции конфликт россии и турции носит временный характер  об этом в пятницу     марта  заявила официальный представитель мид россии мария захарова в эфире  радио свобода   передает                                                риа новости      при этом захарова отметила  что на переговорах с госсекретарем сша джоном керри  которые состоялись в москве    марта  вопрос двусторонних отношений россии и турции не обсуждался  ранее в пятницу спикер совета федерации валентина матвиенко                                                                       заявила      что москва готова к нормализации отношений с анкарой  если турция признает свою ответственность за сбитый российский бомбардировщик су     однако  по словам главы верхней палаты парламента  пока турецкое руководство не демонстрирует подобных намерений  кризис в отношениях москвы и анкары начался после того  как    ноября      года турецкие истребители                                                                 сбили     су    из состава российской авиагруппы  задействованной в антитеррористической операции в сирии  россия ввела в отношении турции санкции  в частности  запретив ввоз ряда продовольственных товаров  ограничив чартерные перевозки и отменив безвизовый режим  ,politics,,
509, металлург  разгромил  салават юлаев  в полуфинале кубка гагарина магнитогорский  металлург  во втором матче     финала кубка гагарина обыграл уфимский салават юлаев  об этом сообщается на                                                              сайте     континентальной хоккейной лиги  кхл   встреча прошла в пятницу     марта  в магнитогорске и завершилась победой хозяев со счетом      игроки  металлурга  забросили в ворота соперника шесть шайб  по разу отличись денис осипов  богдан потехин  сергей мозякин  александр семин  томаш филиппи и ярослав косов  лишь на    й минуте уфимцам усилиями сами леписте удалось забить гол престижа  первый матч состоялся    марта   металлург  одержал верх со счетом     во втором овертайме  следующий поединок серии пройдет    марта в уфе  накануне в параллельном полуфинале московский цска                                                                   одержал     вторую победу над питерским ска и повел в серии         марта соперники встретятся в санкт петербурге  ,sport,,
510,лоза назвал  кастрированными  слова о бесталанности                    автор шлягера  плот  юрий лоза в пятницу     марта  заявил радиостанции                                                       говорит москва       что его критику в адрес                    и              вырвали из контекста  ответственность за это он возложил на продюсера ночного эфира  дождя   бывшего генпродюсера  нашего радио  и радиостанции  максимум  михаила козырева   он надергал все это просто  взял мои фразы  обрезал  кастрировал их без упоминания контекста  причем выдрал две три фразы даже не целиком  а только окончания  и опубликовал  весь интернет на меня накинулся  если вы возьмете любую часть этой фразы  из нее можно вылепить что угодно     объяснил певец  он подчеркнул  что не пытался сопоставить себя с участниками этих групп  а лишь сравнивал их с другими представителями рок индустрии  которых считает великими   я говорю о том  что ричи блэкмор   величайший гитарист в истории рока  а кит ричардс   слабый гитарист  я их сравниваю между собой  а не с собой  я говорю  что                великая группа  концертные выступления были у них последнее время очень невнятными и слабыми с технической точки зрения  я хоть слово сказал о том  что у них плохая музыка  это отнюдь не умаляет значения этих групп для истории  для любви фанатов     добавил лоза  прямую речь лозы по поводу                    и              козырев заимствовал на украинском портале  вести   ссылку на который и опубликовал в своем                                                                                                                     марта  за сутки запись козырева собрала около     тысяч перепостов  глубокие мысли великих людей      того  что спето               слушать невозможно  потому что это сыграно и спето пло    слова лозы прозвучали в воскресенье     марта  в                                                                              эфире     программы  соль  на рен тв  ее ведет захар прилепин  герои передач прилепина вживую исполняют свои композиции  а в промежутках обсуждают с ведущим актуальные темы  ,politics,criminal,culture
511,производитель пылесосов переключился на электромобили фото                                             производитель пылесосов и другой бытовой техники  компания        задумалась о выпуске электрокаров  как сообщает               британское правительство готово оказать компании поддержку  выделив на разработку модели     миллиона фунтов инвестиций  об этом говорится в документе  размещенном на сайте правительства великобритании  там указано  что инвестиции пойдут  в частности  на создание     рабочих мест  в основном   инженерных специальностей  помимо создания одноименного пылесоса  компания       также известна как производитель безлопастного вентилятора и циклона сепаратора  заменившего традиционные воздушные фильтры  использовавшиеся в промышленности при покрасочных работах  есть у компании и опыт в конструировании транспортных средств  в      году будущий глава       джеймс дайсон создал быстроходное грузовое судно            способное причаливать к необорудованному берегу  другим его проектом стала необычная сельскохозяйственная тачка с шаром вместо колеса               электрокары постепенно становятся главенствующим трендом автоиндустрии     февраля стало известно  что в      году объем продаж электромобилей по всему миру                                                                   взлетел      на    процентов   несмотря на низкие цены на бензин  в течение ближайших двух лет       и           планируют резко нарастить продажи электромобилей с запасом хода до     миль  эквивалентно     километрам   средняя цена на такие машины будет снижена до    тысяч долларов  что позволит значительно расширить базу потенциальных клиентов  в ближайшие пять лет компания                                                                               намерена     добавить    новых электромобилей к своей продуктовой линейке  к      году более    процентов автомобилей      будут предлагаться с электрическими силовыми установками  в разработку электрокаров компания намерена вложить     миллиарда долларов  кроме того       планирует увеличить объем глобальных исследований и разработок в области аккумуляторов для электрокаров и привлечь к исследованиям ученых и инженеров из стран европы и азии  миллиарды долларов инвестируют в производство автомобилей с электродвигателями                    и      помимо автопроизводителей  к своим нишам на этом рынке присматриваются также       и         эта тенденция может стать проблемой для нефтяных рынков  сообщает агентство                                                                          ,economics,society,criminal
512,эрдоган упрекнул брюссель в мягкости и посоветовал сделать выводы из терактов президент турции реджеп тайип эрдоган упрекнул бельгийские власти в излишней мягкости в отношении боевиков  об этом сообщает                                                                 в пятницу     марта  турецкий лидер  раскритиковал брюссель  в том числе  за терпимость к членам рабочей партии курдистана  которую анкара считает террористической  перед визитом эрдогана в брюссель они организовали акцию в центре города  протестуя против карательной политики анкары в отношении курдских регионов на юго востоке турции   бельгийцы позволяют членам сепаратистских террористических организаций устанавливать свои палатки напротив здания европейского совета  демонстрировать свои рисунки и поднимать свои флаги     заявил эрдоган    и что же происходит два дня спустя   президент турции также напомнил  что одного из террористов  ибрагима бакрауи  который позже взорвал себя в брюссельском аэропорту  турецкие спецслужбы уже депортировали из страны   власти западных стран не могут справиться с проблемами    посетовал эрдоган    мы задержали бакрауи в газиантепе  депортировали его  а эти джентльмены вместо того  чтобы сделать с ним то  что подобало  взяли и освободили этого террориста  братья мои  терроризм   это общая беда  проблема всего мира  с господней помощью они это поймут   в марте турцию потрясла целая серия терактов  крупнейшим из них стал                                                                   взрыв     заминированного автомобиля в центре анкары    марта  в результате                                                                    погибли        человека  среди них один или двое   смертники  в больницы были доставлены     человек     находились в критическом состоянии  турецкие силовики                                                                                        допустили      что к теракту могут быть причастны бойцы рпк  в свою очередь  прокурдская партия демократии народов  пдн  осудила взрыв в турецкой столице     марта стало известно  что ответственность за взрыв взяла на себя группировка  соколы свободы курдистана      марта в брюсселе были совершены теракты в аэропорту завентем и на станции метро  маальбек   жертвами взрывов  по уточненным данным                                                                стал        человек  свыше                                                                         пострадали      полиция установила  что теракт в аэропорту устроили ибрагим баркауи и наджим лашрауи  а в метро взорвал себя младший брат ибрагима халид  ,criminal,,
513,в сети появилось видео  на котором показано  как собака ухаживает за пятью детенышами гепарда  мать которых умерла через две недели после родов  хищников приводят к австралийской овчарке по кличке блейкли дважды в день  по словам ветеринаров  если бы не забота собаки  гепарды бы не выжили  ,criminal,politics,society
514,вфла пожизненно дисквалифицировала тренера по спортивной ходьбе чегина всероссийская федерация легкой атлетики  вфла  утвердила решение российского антидопингового агентства  русада  о пожизненной дисквалификации тренера виктора чегина  об этом сообщается на                                                                                                                                                     сайте     русада   виктор чегин признан виновным в нарушении пункта       введение или попытка введения запрещенной субстанции любому спортсмену или применение или попытка применения в отношении его запрещенного метода  либо иное содействие  связанное с нарушением или попыткой нарушения антидопингового правила  и пунктом       соучастие  общероссийских антидопинговых правил  действующих в           годах     гласит заявление  чегин руководил центром олимпийской подготовки республики мордовия по спортивной ходьбе  впоследствии переименованным в специализированную школу олимпийского резерва  накануне спортивный арбитражный суд       в лозанне                                                                         дисквалифицировал     пойманных на допинге ходоков сергея бакулина  ольгу каниськину  валерия борчина  владимира канайкина  сергея кирдяпкина и бегунью юлию зарипову  а также лишил их наград  все пять ходоков   воспитанники чегина     декабря в соответствии с требованиями международной ассоциации легкоатлетических федераций        был                                                                закрыт     центр олимпийской подготовки республики мордовия по спортивной ходьбе имени виктора чегина  ,sport,criminal,
515,ляшко рассказал о неудачной попытке гройсмана  тронуть струны его души  лидер радикальной партии олег ляшко заявил  что программа действий спикера верховной рады и кандидата в премьер министры страны владимира гройсмана  не тронула струн его сердца   соответствующую запись он опубликовал в пятницу     марта  на своей странице в                                                                                                   владимир гройсман только презентовал свою программу действий в качестве претендента в премьер министры  программа написана неплохо         но программа гройсмана не тронула струн моего сердца  ничего радикального  ничего прорывного     написал ляшко  он отметил  что его с соратниками не устраивают предложенные в документе темпы развития   только вперед  на полных парах  если хотим вырваться из стран третьего мира     отметил глава фракции     марта гройсман                                                                           объявил     о готовности возглавить новое правительство украины  зампред фракции  батькивщины  сергей соболев сообщил  что гройсман представит свой план в качестве кандидата на пост премьер министра украины в пятницу     марта     марта глава администрации украинского президента борис ложкин                                                                           заявил      что основными претендентами на пост премьер министра страны выступают гройсман и министр финансов наталья яресько  ранее в марте премьер министр арсений яценюк                                                                       отметил      что готов подать в отставку  если верховная рада сможет набрать количество голосов  будет названа кандидатура его преемника и представлена программа действий нового кабмина  дискуссия о смене главы кабинета министров активно ведется на украине с февраля этого года     февраля верховная рада не смогла принять резолюцию о недоверии правительству  которая влечет за собой его отставку  в тот же день президент петр порошенко заявил  что правительство полностью потеряло поддержку со стороны парламентской коалиции  сам яценюк заявил  что готов уйти в отставку  если верховная рада наберет необходимое количество голосов для утверждения нового главы кабмина  ,ucraine,politics,
516,сайт российского отделения                            подвергся      атаке после публикации о квартире вице премьера дмитрия рогозина  которую антикоррупционная организация оценила в     миллионов рублей  об этом в пятницу     марта  сообщили  ведомости   в докладе                                                                            опубликованном     на сайте  сообщается  что квартира на староволынской улице в москве  где проживают три поколения семьи рогозиных  была приобретена в      году  ее стоимость превышает совокупный доход всех членов семьи за много лет  квартира площадью     квадратных метров числится в                                                                                                 декларациях     рогозина  его жены  а также в декларации их сына алексея рогозина  который недавно стал замруководителя департамента имущества минобороны  из этих же данных организация подсчитала  что совокупный доход вице премьера  его жены и сына с      по      годы составил            рубля  вскоре после публикации сайт российского отделения                            оказался недоступен  заместитель директора центра илья шуманов сообщил  ведомостям   что на сайт         мск идет   о  атака  шуманов прямо связал это с публикацией материала о рогозине   никаких других острых текстов в эти дни мы не публиковали   организация подготовила официальное обращение в надзорные органы с просьбой провести проверку этой информации                               неправительственная международная организация по борьбе с коррупцией и исследованию ее уровня по всему миру  основанная в      году бывшим директором всемирного банка петером айгеном в берлине  российское отделение открылось в      году в форме нко  ,society,,
517,порошенко попросил совет европы направить в россию спецкомиссию президент украины петр порошенко попросил совет европы  се  направить в россию специальную миссию для мониторинга ситуации с заключенными гражданами украины  об этом в пятницу     марта  он рассказал на встрече с комиссаром се по правам человека нильсом муйжниексом                                                                                                                                  сообщает     пресс служба украинского лидера   необходимо использовать все возможности  включая направление специальной миссии  для контроля за ситуацией с заключенными украинцами и ввести другие необходимые механизмы  в том числе мониторинг россии европейским комитетом по предупреждению пыток     пояснил порошенко  он призвал муйжниекса способствовать освобождению военнослужащей надежды савченко и других содержащихся в россии украинских граждан  по словам порошенко  они  незаконно удерживаются в россии  по политическим мотивам  в свою очередь муйжниекс сообщил  что следит за ситуацией с савченко и другими заключенными украинцами  ранее    марта глава администрации президента россии сергей иванов                                                                        допустил     возможность обмена украинской военнослужащей надежды савченко на задержанных на украине россиян  во вторник     марта  после того как донецкий суд ростовской области                                                                       приговорил     савченко к    годам колонии  президент украины петр порошенко заявил  что готов обменять ее на двух россиян  имен граждан рф он не назвал  но  очевидно  речь идет об александре александрове и евгении ерофееве   в россии савченко признали виновной в убийстве российских журналистов под луганском и в покушении на убийство еще одного  также ей назначили штраф в размере    тысяч рублей за незаконное пересечение границы россии  с учетом срока нахождения под стражей савченко предстоит отбывать наказание в течение    лет и четырех месяцев  киев считает  что обмен украинской военнослужащей соответствует букве минских соглашений  в них содержится пункт   обеспечить освобождение и обмен всех заложников и незаконно удерживаемых лиц на основе принципа  всех на всех    однако в москве заявляют  что это положение не имеет никакого отношения к россии  а касается лишь сторон конфликта  то есть ополченцев донбасса и властей украины     марта минюст россии                                                                    получил     обращение киева о передаче режиссера олега сенцова и еще троих осужденных в россии украинских граждан  оно будет рассмотрено в течение месяца     августа прошлого года северо кавказский окружной военный суд в ростове на дону признал украинского режиссера олега сенцова виновным в создании в крыму террористического сообщества и руководстве им  попытке приобретения взрывных устройств  незаконном хранении оружия  а также в совершении двух терактов и подготовке еще одного  он был приговорен к    годам колонии строгого режима  второй подсудимый  кольченко  получил    лет колонии строгого режима  ,ucraine,,
